IP协议,源IP,源端口,目标IP,目标端口,Uid,应用,协议,状态,信息,已发送字节数,已接收字节数,已发送数据包,已接收数据包,第一次见,最后一次见
17,10.215.173.1,6597,10.215.173.2,53,0,Root,DNS,已关闭,dot.pub,53,129,1,1,1729480699016,1729480699035
17,10.215.173.1,6994,10.215.173.2,53,0,Root,DNS,已关闭,dot.pub,53,532,1,1,1729480699037,1729480699368
6,10.215.173.1,47038,120.53.53.53,853,0,Root,TLS,已关闭,dot.pub,857,3191,11,11,1729480699375,1729480699695
6,10.215.173.1,38750,1.12.12.12,853,0,Root,TLS,已关闭,dot.pub,857,3189,11,11,1729480699379,1729480699802
6,10.215.173.1,47046,120.53.53.53,853,0,Root,TLS,已关闭,dot.pub,971,3619,12,12,1729480699676,1729480700571
6,10.215.173.1,38758,1.12.12.12,853,0,Root,TLS,已关闭,dot.pub,1210,4166,14,14,1729480716592,1729480738978
6,10.215.173.1,38568,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480717048,1729480717246
6,10.215.173.1,58794,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,869,4755,9,10,1729480717050,1729480721043
6,10.215.173.1,38576,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480717852,1729480718049
6,10.215.173.1,58802,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,4491,51125,38,54,1729480717853,1729480724663
6,10.215.173.1,38584,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480718787,1729480719997
6,10.215.173.1,58810,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,1862,7412,13,15,1729480718789,1729480723581
6,10.215.173.1,38592,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480718792,1729480718993
6,10.215.173.1,58818,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,1225,5508,10,11,1729480718794,1729480722833
6,10.215.173.1,38598,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480718795,1729480718996
6,10.215.173.1,58822,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,1182,5486,9,10,1729480718796,1729480722832
6,10.215.173.1,38604,104.21.80.35,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480718797,1729480718995
6,10.215.173.1,58828,172.67.173.172,443,10184,91探花,TLS,已关闭,tofszu.ijkehjugc.com,2787,79227,49,61,1729480718798,1729480723094
6,10.215.173.1,49318,150.139.230.223,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480718912,1729480718931
6,10.215.173.1,34240,42.81.213.85,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,9035,920342,199,626,1729480718913,1729480737235
6,10.215.173.1,49326,150.139.230.223,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480721567,1729480721595
6,10.215.173.1,49328,150.139.230.223,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,2832,165630,44,122,1729480721568,1729480737294
6,10.215.173.1,34250,42.81.213.85,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,4179,225439,73,164,1729480721571,1729480737283
6,10.215.173.1,34252,42.81.213.85,443,10184,91探花,TCP,已关闭,,140,128,3,3,1729480721573,1729480721604
6,10.215.173.1,49334,150.139.230.223,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,3455,169921,64,124,1729480721575,1729480737286
6,10.215.173.1,34256,42.81.213.85,443,10184,91探花,TCP,已关闭,,140,128,3,3,1729480721580,1729480721611
6,10.215.173.1,49340,150.139.230.223,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480721582,1729480721597
6,10.215.173.1,49342,150.139.230.223,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480721583,1729480721597
6,10.215.173.1,34264,42.81.213.85,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,3641,217690,64,158,1729480721584,1729480737307
6,10.215.173.1,34266,42.81.213.85,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,6493,223898,131,169,1729480721586,1729480738233
6,10.215.173.1,49350,150.139.230.223,443,10184,91探花,TCP,已关闭,,100,88,2,2,1729480721587,1729480721601
6,10.215.173.1,34272,42.81.213.85,443,10184,91探花,TLS,已关闭,new.fanzhewenhua.xyz,4102,195463,67,146,1729480721588,1729480737285
